riding_id,riding_name,incumbent,overview,article_link1,article_headline1,article_link2,article_headline2
4,Ajax,Patrice Barnes,,,,,
101,Algoma-Manitoulin,Bill Rosenberg,,,,,
27,Aurora-Oak Ridges-Richmond Hill,Michael Parsa,,,,,
21,Barrie-Innisfil,Andrea Khanjin,,,,,
39,Barrie-Springwater-Oro-Medonte,Doug Downey,,,,,
43,Bay of Quinte,Tyler Allsopp,,,,,
6,Beaches-East York,Anna Michaelidis,,,,,
1,Brampton Centre,Charmaine Williams,,,,,
73,Brampton East,Hardeep Grewal,,,,,
75,Brampton North,Graham McGregor,,,,,
94,Brampton South,Prabmeet Sarkaria,,,,,
16,Brampton West,Amarjot Sandhu,,,,,
91,Brantford-Brant,Will Bouma,,,,,
110,Bruce-Grey-Owen Sound,Paul Vickers,,,,,
77,Burlington,Natalie Pierre,,,,,
92,Cambridge,Brian Riddell,,,,,
24,Carleton,George Darouze,,,,,
80,Chatham-Kent-Leamington,Trevor Jones,,,,,
116,Davenport,Nick Pavlov,,,,,
58,Don Valley East,Roger Gingerich,,,,,
18,Don Valley North,Susan Liu,,,,,
66,Don Valley West,Sam Moini,,,,,
65,Dufferin-Caledon,Sylvia Jones,,,,,
35,Durham,Todd McCarthy,,,,,
67,Eglinton-Lawrence,Michelle Cooper,,,,,
121,Elgin-Middlesex-London,Rob Flack,,,,,
52,Essex,Anthony Leardi,,,,,
19,Etobicoke Centre,Kinga Surma,,,,,
107,Etobicoke North,Doug Ford,,,,,
82,Etobicoke-Lakeshore,Christine Hogarth,,,,,
88,Flamborough-Glanbrook,Donna Skelly,,,,,
87,Glengarry-Prescott-Russell,Stéphane Sarrazin,,,,,
79,Guelph,Bob Coole,,,,,
9,Haldimand-Norfolk,Amy Martin,,,,,
41,Haliburton-Kawartha Lakes-Brock,Laurie Scott,,,,,
97,Hamilton Centre,Sarah Bokhari,,,,,
98,Hamilton East-Stoney Creek,Neil Lumsden,,,,,
96,Hamilton Mountain,Monica Cirello,,,,,
26,Hamilton West-Ancaster-Dundas,John Demik,,,,,
60,Hastings-Lennox and Addington,Ric Bresee,,,,,
109,Humber River-Black Creek,Paul Nguyen,,,,,
120,Huron-Bruce,Lisa Thompson,,,,,
30,Kanata-Carleton,Scott Phelan,,,,,
36,Kenora-Rainy River,Greg Rickford,,,,,
34,Kiiwetinoong,Walon Scott,This is another riding,https://www.pizzapizza.ca,Pizza Pizza Link,,
71,King-Vaughan,Stephen Lecce,,,,,
47,Kingston and the Islands,Ian Chapelle,,,,,
69,Kitchener Centre,Rob Elliott,,,,,
68,Kitchener South-Hespeler,Jess Dixon,,,,,
114,Kitchener-Conestoga,Mike Harris,,,,,
122,Lambton-Kent-Middlesex,Steve Pinsonneault,,,,,
61,Lanark-Frontenac-Kingston,John Jordan,,,,,
44,Leeds-Grenville-Thousand Islands and Rideau Lakes,Steve Clark,,,,,
11,London North Centre,Peter Vanderley,,,,,
62,London West,Jerry Pribil,,,,,
14,London-Fanshawe,Beth Allison,,,,,
95,Markham-Stouffville,Paul Calandra,,,,,
54,Markham-Thornhill,Logan Kanapathi,,,,,
13,Markham-Unionville,Billy Pang,,,,,
74,Milton,Zee Hamid,,,,,
28,Mississauga Centre,Natalia Kusendova,,,,,
22,Mississauga East-Cooksville,Silvia Gualtieri,,,,,
56,Mississauga-Erin Mills,Rudy Cuzzetto,,,,,
29,Mississauga-Lakeshore,Deepak Anand,,,,,
7,Mississauga-Malton,Nina Tangri,,,,,
93,Mississauga-Streetsville,Sheref Sabawy,,,,,
53,Mushkegowuk-James Bay,David Plourde,,,,,
86,Nepean,Alex Lewis,,,,,
33,Newmarket-Aurora,Dawn Gallagher Murphy,,,,,
90,Niagara Centre,Bill Steele,,,,,
89,Niagara Falls,Ruth-ann Nieuwesteeg,,,,,
25,Niagara West,Sam Oosterhoff,,,,,
99,Nickel Belt,Randy Hazlett,,,,,
38,Nipissing,Vic Fedeli,,,,,
32,Northumberland-Peterborough South,David Piccini,,,,,
55,Oakville,Stephen Crawford,,,,,
76,Oakville North-Burlington,Effie Triantafilopoulos,,,,,
105,Orl├®ans,Steve Plourde,,,,,
48,Oshawa,Jerry Ouelette,,,,,
106,Ottawa Centre,Scott Healey,,,,,
8,Ottawa South,Jan Gao,,,,,
104,Ottawa West-Nepean,Marilissa Gosselin,,,,,
103,Ottawa-Vanier,Husein Abu-Rayash,,,,,
117,Oxford,Ernie Hardeman,,,,,
83,Parkdale-High Park,Justine Teplycky,,,,,
123,Parry Sound-Muskoka,Graydon Smith,,,,,
111,Perth-Wellington,Matthew Rae,,,,,
42,Peterborough-Kawartha,Dave Smith,,,,,
118,Pickering-Uxbridge,Peter Bethlenfalvy,,,,,
20,Renfrew-Nipissing-Pembroke,William Denault,,,,,
72,Richmond Hill,Daisy Wai,,,,,
5,Sarnia-Lambton,Bob Bailey,,,,,
100,Sault Ste. Marie,Chris Scott,,,,,
64,Scarborough Centre,David Smith,,,,,
3,Scarborough North,Jude Aloysius,,,,,
63,Scarborough Southwest,Raymond Cho,,,,,
12,Scarborough-Agincourt,Aderonke Dramola,,,,,
59,Scarborough-Guildwood,Aris Babikian,,,,,
2,Scarborough-Rouge Park,Vijay Thanigasalam,,,,,
124,Simcoe North,Jill Dunlop,,,,,
40,Simcoe-Grey,Brian Saunderson,,,,,
115,Spadina-Fort York,Omar Farhat,,,,,
23,St. Catharines,Sal Sorrento,,,,,
15,Stormont-Dundas-South Glengarry,Nolan Quinn,,,,,
37,Sudbury,Max Massimiliano,,,,,
112,Thornhill,Laura Smith,,,,,
10,Thunder Bay-Atikokan,Rick Dumas,"Lorem ipsum dolor sit amet consectetur adipiscing elit. Sed vestibulum magna vel ex efficitur eget lobortis felis efficitur. Ut convallis fermentum eleifend. Proin pretium egestas nisl ut mollis. Interdum et malesuada fames ac ante ipsum primis in faucibus. Cras congue dapibus congue. Proin faucibus tellus dui in maximus turpis porttitor ac. Aliquam fringilla libero faucibus nulla maximus ut mattis purus dignissim. Proin non nisl lorem. Donec vitae dictum ipsum eget eleifend augue.",https://google.ca,Google,,
46,Thunder Bay-Superior North,Kevin Holland,,,,,
102,Timiskaming-Cochrane,Tory Delaurier,,,,,
45,Timmins,George Pirie,,,,,
85,Toronto Centre,Riley Braunstein,,,,,
81,Toronto-Danforth,Ruth Farkas,,,,,
70,Toronto-St. Paul's,Adam Ratowski,,,,,
84,University-Rosedale,Sydney Pothakos,,,,,
113,Vaughan-Woodbridge,Michael Tibollo,,,,,
17,Waterloo,Peter Turkington,,,,,
78,Wellington-Halton Hills,Joseph Racinsky,,,,,
49,Whitby,Lorne Coe,,,,,
57,Willowdale,Stan Cho,,,,,
51,Windsor West,Tony Francis,,,,,
50,Windsor-Tecumseh,Andrew Dowie,,,,,
31,York Centre,Michael Kerzner,,,,,
108,York South-Weston,Mohamad Firin,,,,,
119,York-Simcoe,Caroline Mulroney,,,,,