riding_id,riding_name,incumbent,overview,article_link1,article_headline1,article_link2,article_headline2,article_link3,article_headline3
1,Marc-Aurèle-Fortin,,,,,,,,
2,Saint-Hyacinthe--Bagot,,,,,,,,
3,Saint-Jean,,,,,,,,
4,Saint-Léonard--Saint-Michel,,,,,,,,
5,Saint-Maurice--Champlain,,,,,,,,
6,Salaberry--Suroît,,,,,,,,
7,Delta,,,,,,,,
8,Fleetwood--Port Kells,,,,,,,,
9,Avalon,,,,,,,,
10,Long Range Mountains,,,,,,,,
11,Bonavista--Burin--Trinity,,,,,,,,
12,Coast of Bays--Central--Notre Dame,,,,,,,,
13,Labrador,,,,,,,,
14,St. John's East,,,,,,,,
15,St. John's South--Mount Pearl,,,,,,,,
16,Abitibi--Baie-James--Nunavik--Eeyou,,,,,,,,
17,Abitibi--Témiscamingue,,,,,,,,
18,Shefford,,,,,,,,
19,Saint-Laurent,,,,,,,,
20,Sherbrooke,,,,,,,,
21,Ahuntsic-Cartierville,,,,,,,,
22,Alfred-Pellan,,,,,,,,
23,Argenteuil--La Petite-Nation,,,,,,,,
24,Avignon--La Mitis--Matane--Matapédia,,,,,,,,
25,Beauce,,,,,,,,
26,Bécancour--Nicolet--Saurel,,,,,,,,
27,Bellechasse--Les Etchemins--Lévis,,,,,,,,
28,Beloeil--Chambly,,,,,,,,
29,Berthier--Maskinongé,,,,,,,,
30,Pierre-Boucher--Les Patriotes--Verchères,,,,,,,,
31,Oshawa,,,,,,,,
32,Trois-Rivières,,,,,,,,
33,Oakville North--Burlington,,,,,,,,
34,Beauport--Limoilou,,,,,,,,
35,Bourassa,,,,,,,,
36,Brome--Missisquoi,,,,,,,,
37,Brossard--Saint-Lambert,,,,,,,,
38,Rimouski-Neigette--Témiscouata--Les Basques,,,,,,,,
39,Beauport--Côte-de-Beaupré--Île d’Orléans--Charlevoix,,,,,,,,
40,Châteauguay--Lacolle,,,,,,,,
41,Chicoutimi--Le Fjord,,,,,,,,
42,Compton--Stanstead,,,,,,,,
43,Drummond,,,,,,,,
44,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,,,,,,,,
45,Vimy,,,,,,,,
46,North Vancouver,,,,,,,,
47,Edmonton Strathcona,,,,,,,,
48,Edmonton West,,,,,,,,
49,Edmonton--Wetaskiwin,,,,,,,,
50,Dorval--Lachine--LaSalle,,,,,,,,
51,Charlesbourg--Haute-Saint-Charles,,,,,,,,
52,Ottawa Centre,,,,,,,,
53,York South--Weston,,,,,,,,
54,Pitt Meadows--Maple Ridge,,,,,,,,
55,Prince George--Peace River--Northern Rockies,,,,,,,,
56,Vaughan--Woodbridge,,,,,,,,
57,Waterloo,,,,,,,,
58,Wellington--Halton Hills,,,,,,,,
59,Vaudreuil--Soulanges,,,,,,,,
60,Thérèse-De Blainville,,,,,,,,
61,Terrebonne,,,,,,,,
62,Port Moody--Coquitlam,,,,,,,,
63,Richmond Centre,,,,,,,,
64,Esquimalt--Saanich--Sooke,,,,,,,,
65,Saanich--Gulf Islands,,,,,,,,
66,Whitby,,,,,,,,
67,Willowdale,,,,,,,,
68,Ajax,,,,,,,,
69,Algoma--Manitoulin--Kapuskasing,,,,,,,,
70,Aurora--Oak Ridges--Richmond Hill,,,,,,,,
71,Barrie--Innisfil,,,,,,,,
72,Gaspésie--Les Îles-de-la-Madeleine,,,,,,,,
73,Gatineau,,,,,,,,
74,Hochelaga,,,,,,,,
75,Honoré-Mercier,,,,,,,,
76,Gaspésie--Les Îles-de-la-Madeleine,,,,,,,,
77,Hull--Aylmer,,,,,,,,
78,Joliette,,,,,,,,
79,Jonquière,,,,,,,,
80,La Pointe-de-l'Île,,,,,,,,
81,Lac-Saint-Jean,,,,,,,,
82,Surrey Centre,,,,,,,,
83,Skeena--Bulkley Valley,,,,,,,,
84,South Okanagan--West Kootenay,,,,,,,,
85,South Surrey--White Rock,,,,,,,,
86,Steveston--Richmond East,,,,,,,,
87,Windsor--Tecumseh,,,,,,,,
88,Windsor West,,,,,,,,
89,York--Simcoe,,,,,,,,
90,York Centre,,,,,,,,
91,Humber River--Black Creek,,,,,,,,
92,Yukon,,,,,,,,
93,Northwest Territories,,,,,,,,
94,Nunavut,,,,,,,,
95,Banff--Airdrie,,,,,,,,
96,Battle River--Crowfoot,,,,,,,,
97,Bow River,,,,,,,,
98,Calgary Midnapore,,,,,,,,
99,Calgary Shepard,,,,,,,,
100,Dartmouth--Cole Harbour,,,,,,,,
101,Cape Breton--Canso,,,,,,,,
102,Central Nova,,,,,,,,
103,Cumberland--Colchester,,,,,,,,
104,Halifax,,,,,,,,
105,Halifax,,,,,,,,
106,Halifax West,,,,,,,,
107,Kings--Hants,,,,,,,,
108,Sackville--Preston--Chezzetcook,,,,,,,,
109,South Shore--St. Margarets,,,,,,,,
110,Sydney--Victoria,,,,,,,,
111,West Nova,,,,,,,,
112,Barrie--Springwater--Oro-Medonte,,,,,,,,
113,Bay of Quinte,,,,,,,,
114,Beaches--East York,,,,,,,,
115,Brampton Centre,,,,,,,,
116,Lac-Saint-Louis,,,,,,,,
117,La Prairie,,,,,,,,
118,LaSalle--Émard--Verdun,,,,,,,,
119,Vancouver Granville,,,,,,,,
120,Surrey--Newton,,,,,,,,
121,North Island--Powell River,,,,,,,,
122,Vancouver Centre,,,,,,,,
123,Vancouver East,,,,,,,,
124,Calgary Confederation,,,,,,,,
125,Calgary Centre,,,,,,,,
126,Brampton East,,,,,,,,
127,Brampton North,,,,,,,,
128,Brampton South,,,,,,,,
129,Brampton West,,,,,,,,
130,Bruce--Grey--Owen Sound,,,,,,,,
131,Burlington,,,,,,,,
132,Chatham-Kent--Leamington,,,,,,,,
133,Niagara Centre,,,,,,,,
134,Niagara Falls,,,,,,,,
135,Nipissing--Timiskaming,,,,,,,,
136,Northumberland--Peterborough South,,,,,,,,
137,Vancouver Kingsway,,,,,,,,
138,Vancouver Quadra,,,,,,,,
139,Vancouver South,,,,,,,,
140,Victoria,,,,,,,,
141,West Vancouver--Sunshine Coast--Sea to Sky Country,,,,,,,,
142,Calgary Heritage,,,,,,,,
143,Calgary Forest Lawn,,,,,,,,
144,Brantford--Brant,,,,,,,,
145,Cambridge,,,,,,,,
146,Oakville,,,,,,,,
147,Laurentides--Labelle,,,,,,,,
148,Laurier--Sainte-Marie,,,,,,,,
149,Niagara West,,,,,,,,
150,Calgary Nose Hill,,,,,,,,
151,Calgary Rocky Ridge,,,,,,,,
152,Davenport,,,,,,,,
153,Don Valley North,,,,,,,,
154,Don Valley East,,,,,,,,
155,Laval--Les Îles,,,,,,,,
156,Longueuil--Charles-LeMoyne,,,,,,,,
157,Lévis--Lotbinière,,,,,,,,
158,Calgary Signal Hill,,,,,,,,
159,Calgary Skyview,,,,,,,,
160,Longueuil--Saint-Hubert,,,,,,,,
161,Louis-Hébert,,,,,,,,
162,Louis-Saint-Laurent,,,,,,,,
163,Manicouagan,,,,,,,,
164,Manicouagan,,,,,,,,
165,Manicouagan,,,,,,,,
166,Cloverdale--Langley City,,,,,,,,
167,Edmonton Centre,,,,,,,,
168,Chilliwack--Hope,,,,,,,,
169,Coquitlam--Port Coquitlam,,,,,,,,
170,Courtenay--Alberni,,,,,,,,
171,Courtenay--Alberni,,,,,,,,
172,Cowichan--Malahat--Langford,,,,,,,,
173,Mirabel,,,,,,,,
174,Mégantic--L'Érable,,,,,,,,
175,Montarville,,,,,,,,
176,Montcalm,,,,,,,,
177,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,,,,,,,,
178,Mount Royal,,,,,,,,
179,Edmonton Griesbach,,,,,,,,
180,Edmonton Manning,,,,,,,,
181,Edmonton Mill Woods,,,,,,,,
182,Foothills,,,,,,,,
183,Fort McMurray--Cold Lake,,,,,,,,
184,Notre-Dame-de-Grâce--Westmount,,,,,,,,
185,Outremont,,,,,,,,
186,Papineau,,,,,,,,
187,Pierrefonds--Dollard,,,,,,,,
188,Pontiac,,,,,,,,
189,Portneuf--Jacques-Cartier,,,,,,,,
190,Repentigny,,,,,,,,
191,Richmond--Arthabaska,,,,,,,,
192,Rivière-des-Mille-Îles,,,,,,,,
193,Edmonton Riverbend,,,,,,,,
194,Lethbridge,,,,,,,,
195,Medicine Hat--Cardston--Warner,,,,,,,,
196,Peace River--Westlock,,,,,,,,
197,Grande Prairie--Mackenzie,,,,,,,,
198,Red Deer--Mountain View,,,,,,,,
199,Red Deer--Lacombe,,,,,,,,
200,St. Albert--Edmonton,,,,,,,,
201,Sherwood Park--Fort Saskatchewan,,,,,,,,
202,Sturgeon River--Parkland,,,,,,,,
203,Yellowhead,,,,,,,,
204,Québec,,,,,,,,
205,Rivière-du-Nord,,,,,,,,
206,Rosemont--La Petite-Patrie,,,,,,,,
207,Abbotsford,,,,,,,,
208,Burnaby North--Seymour,,,,,,,,
209,Burnaby South,,,,,,,,
210,Cariboo--Prince George,,,,,,,,
211,Central Okanagan--Similkameen--Nicola,,,,,,,,
212,Moncton--Riverview--Dieppe,,,,,,,,
213,Miramichi--Grand Lake,,,,,,,,
214,New Brunswick Southwest,,,,,,,,
215,Saint John--Rothesay,,,,,,,,
216,Tobique--Mactaquac,,,,,,,,
217,Beauséjour,,,,,,,,
218,Acadie--Bathurst,,,,,,,,
219,Fredericton,,,,,,,,
220,Fundy Royal,,,,,,,,
221,Madawaska--Restigouche,,,,,,,,
222,Markham--Unionville,,,,,,,,
223,Milton,,,,,,,,
224,Mississauga East--Cooksville,,,,,,,,
225,Mississauga--Erin Mills,,,,,,,,
226,Mississauga Centre,,,,,,,,
227,Brandon--Souris,,,,,,,,
228,Charleswood--St. James--Assiniboia--Headingley,,,,,,,,
229,Churchill--Keewatinook Aski,,,,,,,,
230,Dauphin--Swan River--Neepawa,,,,,,,,
231,Brandon--Souris,,,,,,,,
232,Elmwood--Transcona,,,,,,,,
233,Mississauga--Lakeshore,,,,,,,,
234,Mississauga--Malton,,,,,,,,
235,Cardigan,,,,,,,,
236,Charlottetown,,,,,,,,
237,Egmont,,,,,,,,
238,Mississauga--Streetsville,,,,,,,,
239,Nepean,,,,,,,,
240,Newmarket--Aurora,,,,,,,,
241,Kildonan--St. Paul,,,,,,,,
242,Portage--Lisgar,,,,,,,,
243,Provencher,,,,,,,,
244,Malpeque,,,,,,,,
245,Saint Boniface--Saint Vital,,,,,,,,
246,Selkirk--Interlake--Eastman,,,,,,,,
247,Selkirk--Interlake--Eastman,,,,,,,,
248,Winnipeg South,,,,,,,,
249,Selkirk--Interlake--Eastman,,,,,,,,
250,Selkirk--Interlake--Eastman,,,,,,,,
251,Winnipeg Centre,,,,,,,,
252,Winnipeg South Centre,,,,,,,,
253,Winnipeg North,,,,,,,,
254,Battlefords--Lloydminster,,,,,,,,
255,Cypress Hills--Grasslands,,,,,,,,
256,Desnethé--Missinippi--Churchill River,,,,,,,,
257,Carlton Trail--Eagle Creek,,,,,,,,
258,Moose Jaw--Lake Centre--Lanigan,,,,,,,,
259,Prince Albert,,,,,,,,
260,Regina--Qu'Appelle,,,,,,,,
261,Regina--Wascana,,,,,,,,
262,Regina--Lewvan,,,,,,,,
263,Saskatoon--Grasswood,,,,,,,,
264,Saskatoon--University,,,,,,,,
265,Yorkton--Melville,,,,,,,,
266,Etobicoke Centre,,,,,,,,
267,Nickel Belt,,,,,,,,
268,Sault Ste. Marie,,,,,,,,
269,Thunder Bay--Superior North,,,,,,,,
270,Etobicoke--Lakeshore,,,,,,,,
271,Lakeland,,,,,,,,
272,Kamloops--Thompson--Cariboo,,,,,,,,
273,Kootenay--Columbia,,,,,,,,
274,Kelowna--Lake Country,,,,,,,,
275,Langley--Aldergrove,,,,,,,,
276,Mission--Matsqui--Fraser Canyon,,,,,,,,
277,Nanaimo--Ladysmith,,,,,,,,
278,New Westminster--Burnaby,,,,,,,,
279,North Okanagan--Shuswap,,,,,,,,
280,Etobicoke North,,,,,,,,
281,Flamborough--Glanbrook,,,,,,,,
282,Glengarry--Prescott--Russell,,,,,,,,
283,Haldimand--Norfolk,,,,,,,,
284,Haliburton--Kawartha Lakes--Brock,,,,,,,,
285,Don Valley West,,,,,,,,
286,Essex,,,,,,,,
287,Saskatoon West,,,,,,,,
288,Souris--Moose Mountain,,,,,,,,
289,Dufferin--Caledon,,,,,,,,
290,Durham,,,,,,,,
291,Elgin--Middlesex--London,,,,,,,,
292,Guelph,,,,,,,,
293,Hamilton East--Stoney Creek,,,,,,,,
294,Hamilton Mountain,,,,,,,,
295,Hamilton West--Ancaster--Dundas,,,,,,,,
296,Hamilton Centre,,,,,,,,
297,Hastings--Lennox and Addington,,,,,,,,
298,Huron--Bruce,,,,,,,,
299,Kenora,,,,,,,,
300,King--Vaughan,,,,,,,,
301,London--Fanshawe,,,,,,,,
302,London West,,,,,,,,
303,Markham--Stouffville,,,,,,,,
304,Oxford,,,,,,,,
305,Parkdale--High Park,,,,,,,,
306,Eglinton--Lawrence,,,,,,,,
307,Parry Sound--Muskoka,,,,,,,,
308,Perth--Wellington,,,,,,,,
309,Peterborough--Kawartha,,,,,,,,
310,Pickering--Uxbridge,,,,,,,,
311,Renfrew--Nipissing--Pembroke,,,,,,,,
312,Kanata--Carleton,,,,,,,,
313,Kingston and the Islands,,,,,,,,
314,Richmond Hill,,,,,,,,
315,Carleton,,,,,,,,
316,St. Catharines,,,,,,,,
317,Kitchener--Conestoga,,,,,,,,
318,Kitchener South--Hespeler,,,,,,,,
319,Lambton--Kent--Middlesex,,,,,,,,
320,Lanark--Frontenac--Kingston,,,,,,,,
321,Kitchener Centre,,,,,,,,
322,Leeds--Grenville--Thousand Islands and Rideau Lakes,,,,,,,,
323,Toronto--St. Paul's,,,,,,,,
324,Sarnia--Lambton,,,,,,,,
325,Scarborough--Agincourt,,,,,,,,
326,London North Centre,,,,,,,,
327,Markham--Thornhill,,,,,,,,
328,Scarborough Centre,,,,,,,,
329,Scarborough--Guildwood,,,,,,,,
330,Scarborough North,,,,,,,,
331,Orléans,,,,,,,,
332,Ottawa South,,,,,,,,
333,Scarborough Southwest,,,,,,,,
334,Scarborough--Rouge Park,,,,,,,,
335,Simcoe--Grey,,,,,,,,
336,Simcoe North,,,,,,,,
337,Spadina--Fort York,,,,,,,,
338,Stormont--Dundas--South Glengarry,,,,,,,,
339,Sudbury,,,,,,,,
340,Thunder Bay--Rainy River,,,,,,,,
341,Ottawa--Vanier,,,,,,,,
342,Ottawa West--Nepean,,,,,,,,
343,Thornhill,,,,,,,,
,Timmins--James Bay,,,,,,,,
,Toronto Centre,,,,,,,,
,Toronto--Danforth,,,,,,,,
,University--Rosedale,,,,,,,,